x,y,label
518.5,17.5,False
513.5,35.5,False
508.5,50.5,False
503.5,59.5,False
498.5,59.5,False
493.5,47.5,False
488.5,31.5,False
483.5,15.5,False
481.0,3.5,False
480.0,-7.0,True
468.5,-7.5,False
463.5,7.5,False
458.5,25.5,False
453.5,43.5,False
448.5,58.5,False
443.5,67.5,False
438.5,67.5,False
433.5,55.5,False
428.5,39.5,False
423.5,23.5,False
418.5,7.5,False
413.5,-8.5,False
411.0,-20.5,False
410.0,-31.0,True
398.5,-31.5,False
393.5,-16.5,False
388.5,1.5,False
383.5,19.5,False
378.5,34.5,False
373.5,43.5,False
368.5,43.5,False
363.5,31.5,False
358.5,15.5,False
353.5,-0.5,False
348.5,-16.5,False
343.5,-32.5,False
341.0,-44.5,False
340.0,-55.0,True
328.5,-55.5,False
323.5,-40.5,False
318.5,-22.5,False
313.5,-4.5,False
308.5,10.5,False
303.5,19.5,False
298.5,19.5,False
293.5,7.5,False
288.5,-8.5,False
283.5,-24.5,False
278.5,-40.5,False
273.5,-56.5,False
275.0,-63.0,True
270.0,-54.0,True
258.5,-54.5,False
253.5,-39.5,False
248.5,-21.5,False
243.5,-3.5,False
238.5,11.5,False
233.5,20.5,False
228.5,20.5,False
223.5,8.5,False
218.5,-7.5,False
213.5,-23.5,False
208.5,-39.5,False
203.5,-55.5,False
205.0,-62.0,True
200.0,-53.0,True
188.5,-53.5,False
183.5,-38.5,False
178.5,-20.5,False
173.5,-2.5,False
168.5,12.5,False
163.5,21.5,False
158.5,21.5,False
153.5,9.5,False
148.5,-6.5,False
143.5,-22.5,False
138.5,-38.5,False
133.5,-54.5,False
135.0,-61.0,True
130.0,-52.0,True
118.5,-52.5,False
113.5,-37.5,False
108.5,-19.5,False
103.5,-1.5,False
98.5,13.5,False
93.5,22.5,False
88.5,22.5,False
83.5,10.5,False
78.5,-5.5,False
73.5,-21.5,False
68.5,-37.5,False
63.5,-53.5,False
65.0,-60.0,True
60.0,-51.0,True
48.5,-51.5,False
43.5,-36.5,False
38.5,-18.5,False
33.5,-0.5,False
28.5,14.5,False
23.5,23.5,False
18.5,23.5,False
13.5,11.5,False
8.5,-4.5,False
3.5,-20.5,False
-1.5,-36.5,False
-6.5,-52.5,False
-5.0,-59.0,True
-10.0,-50.0,True
-21.5,-50.5,False
-26.5,-35.5,False
-31.5,-17.5,False
-36.5,0.5,False
-41.5,15.5,False
-46.5,24.5,False
-51.5,24.5,False
-56.5,12.5,False
-61.5,-3.5,False
-66.5,-19.5,False
-71.5,-35.5,False
-76.5,-51.5,False
-75.0,-58.0,True
418.5,28.5,False
413.5,43.5,False
408.5,61.5,False
403.5,79.5,False
398.5,94.5,False
393.5,103.5,False
388.5,103.5,False
383.5,91.5,False
378.5,75.5,False
373.5,59.5,False
368.5,43.5,False
363.5,27.5,False
361.0,15.5,False
360.0,5.0,False
351.0,-16.5,False
343.5,-36.5,False
338.5,-54.5,False
340.0,-59.0,True
335.0,-50.0,True
323.5,-50.5,False
325.0,-26.0,True
313.5,-26.5,False
308.5,-11.5,False
303.5,6.5,False
298.5,24.5,False
293.5,39.5,False
288.5,48.5,False
283.5,48.5,False
278.5,36.5,False
273.5,20.5,False
268.5,4.5,False
263.5,-11.5,False
258.5,-27.5,False
256.0,-39.5,False
255.0,-50.0,True
243.5,-50.5,False
238.5,-35.5,False
233.5,-17.5,False
228.5,0.5,False
223.5,15.5,False
218.5,24.5,False
213.5,24.5,False
208.5,12.5,False
203.5,-3.5,False
198.5,-19.5,False
193.5,-35.5,False
188.5,-51.5,False
190.0,-58.0,True
185.0,-49.0,True
173.5,-49.5,False
168.5,-34.5,False
163.5,-16.5,False
158.5,1.5,False
153.5,16.5,False
148.5,25.5,False
143.5,25.5,False
138.5,13.5,False
133.5,-2.5,False
128.5,-18.5,False
123.5,-34.5,False
118.5,-50.5,False
120.0,-57.0,True
115.0,-48.0,True
103.5,-48.5,False
98.5,-33.5,False
93.5,-15.5,False
88.5,2.5,False
83.5,17.5,False
78.5,26.5,False
73.5,26.5,False
68.5,14.5,False
63.5,-1.5,False
58.5,-17.5,False
53.5,-33.5,False
48.5,-49.5,False
50.0,-56.0,True
38.5,-56.5,False
33.5,-41.5,False
28.5,-23.5,False
23.5,-5.5,False
18.5,9.5,False
13.5,18.5,False
8.5,18.5,False
3.5,6.5,False
-1.5,-9.5,False
-6.5,-25.5,False
-11.5,-41.5,False
-10.0,-48.0,True
-21.5,-48.5,False
-26.5,-33.5,False
-31.5,-15.5,False
-36.5,2.5,False
-41.5,17.5,False
-46.5,26.5,False
-51.5,26.5,False
-56.5,14.5,False
-61.5,-1.5,False
-66.5,-17.5,False
-71.5,-33.5,False
-76.5,-49.5,False
-75.0,-56.0,True
425.0,-293.0,True
420.0,-284.0,True
408.5,-284.5,False
403.5,-269.5,False
398.5,-251.5,False
393.5,-233.5,False
388.5,-218.5,False
390.0,-200.0,True
378.5,-200.5,False
380.0,-176.0,True
375.0,-167.0,True
370.0,-158.0,True
365.0,-149.0,True
360.0,-140.0,True
355.0,-131.0,True
350.0,-122.0,True
345.0,-113.0,True
340.0,-104.0,True
335.0,-95.0,True
330.0,-86.0,True
325.0,-77.0,True
320.0,-68.0,True
315.0,-59.0,True
310.0,-50.0,True
298.5,-50.5,False
293.5,-35.5,False
